track_id,artist,song,favorites
14e96,Azealia Banks,L8R,334
1g2k7,The 2 Bears,Tourettes Hero,60
189ep,Erol Alkan & Boys Noize,Death Suite (Erol Alkan Edit),134
1bxbk,Green River Ordinance,Go Your Own Way (Fleetwood Mac Cover),38
1bh1d,Azealia Banks,212,14686
1bsmb,The 2 Bears,Take A Look Around,87
1d66s,Amy Winehouse,Tears Dry on their Own (Organized Noize...,1291
1h3cr,The 2 Bears,Time In Mind,68
1k0w6,Hot Chip,Flutes (Cryptonites Edit),380
q4pq,Yeah Yeah Yeahs,Heads Will Roll,5204
1mgb2,Disclosure,Control feat. Ria Ritchie,2603
1bnn1,Rae Morris,Did I ever,64
1b8qx,Toddla T,Take It Back (The 2 Bears Remix),291
2apkz,Rihanna,Bitch Better Have My Money (Hitimpulse R...,10928
2avah,Flume,Left Alone feat. Chet Faker (Gravez x Ta...,2534
2fw9r,Bullion,"Never Is The Change (12"" Take)",6
2ay3v,Alesso feat. Roy English,Cool (Autograf Remix),6893
2g9j7,The Magician,SHY (feat. Brayton Bowman),7461
249dq,Liz,Y2K (Vices Remix),72
2bvcz,4,Cleaning House,3
2esz7,Ty Dolla $ign,Blasé (Louis The Child Remix),7236
2fxfz,Jesse Futerman,One For Falafel King,21
2ab6e,The Golden Boy,The Promise (Extended Version),78
2ffwt,ZAYN,PILLOWTALK (Stwo Remix),5807
2f3zd,AMTRAC,LONG NIGHTS,1567
2crnt,Kenton Slash Demon,Harpe,3210
2ar0w,The M Machine,Don't Speak (Manila Killa Remix),3927
2f7em,Point Point,F+L,9222
2gvcv,Kaskade & Felix Cartal,Fakin It (Feat. Ofelia K),7104
2ag04,SNBRN feat. Kaleena Zanders,California (Chris Lake & Matroda Remix),2110
2j7cy,William Ackerman,The Pink Chiffon Tricycle Queen,3
2d0mr,Superpoze,Time Travel (Jean Tonique Vision),1080
2fj1s,Antonymes,Towards Tragedy And Dissolution,156
25nhg,Hudson Mohawke,Chimes (Official),9942
27dzy,RL Grime,Scylla,2131
